Ubigeo|Departamento|Provincia|Distrito|Nombre de la Municipalidad|Dirección
050304|AYACUCHO|HUANCA SANCOS|SANTIAGO DE LUCANAMARCA|MUNICIPALIDAD DISTRITAL DE SANTIAGO DE LUCANAMARCA|Jr. 28 de Julio - Plaza Principal
050401|AYACUCHO|HUANTA|HUANTA|MUNICIPALIDAD PROVINCIAL DE HUANTA|Jr. Razuhuillca N° 183
050402|AYACUCHO|HUANTA|AYAHUANCO|MUNICIPALIDAD DISTRITAL DE AYAHUANCO|Av. Perú S/N - Plaza Principal Viracochan
050403|AYACUCHO|HUANTA|HUAMANGUILLA|MUNICIPALIDAD DISTRITAL DE HUAMANGUILLA|Plaza Principal S/N
050404|AYACUCHO|HUANTA|IGUAIN|MUNICIPALIDAD DISTRITAL DE IGUAIN|Plaza Principal Macachacra S/N
050405|AYACUCHO|HUANTA|LURICOCHA|MUNICIPALIDAD DISTRITAL DE LURICOCHA|Jr. Los Misioneros S/N - Plaza Central
050406|AYACUCHO|HUANTA|SANTILLANA|MUNICIPALIDAD DISTRITAL DE SANTILLANA|Plaza Principal de San José de Secce S/N
050407|AYACUCHO|HUANTA|SIVIA|MUNICIPALIDAD DISTRITAL DE SIVIA|Av. Gervasio Santillana S/N
050408|AYACUCHO|HUANTA|LLOCHEGUA|MUNICIPALIDAD DISTRITAL DE LLOCHEGUA|Plaza Principal S/N
050409|AYACUCHO|HUANTA|CANAYRE|MUNICIPALIDAD DISTRITAL DE CANAYRE|Plaza Principal S/N
050410|AYACUCHO|HUANTA|UCHURACCAY|MUNICIPALIDAD DISTRITAL DE UCHURACCAY|Plaza Principal Huaynacancha
050411|AYACUCHO|HUANTA|PUCACOLPA|MUNICIPALIDAD DISTRITAL DE PUCACOLPA|Plaza Principal N° 1 Mz. H Lt. 2 Km. 4
050412|AYACUCHO|HUANTA|CHACA|MUNICIPALIDAD DISTRITAL DE CHACA|Calle 28 de Julio S/N - Plaza Principal
050413|AYACUCHO|HUANTA|PUTIS|MUNICIPALIDAD DISTRITAL DE PUTIS|Plaza Principal S/N
050501|AYACUCHO|LA MAR|SAN MIGUEL|MUNICIPALIDAD PROVINCIAL DE SAN MIGUEL|Plaza Principal N° 103
050502|AYACUCHO|LA MAR|ANCO|MUNICIPALIDAD DISTRITAL DE ANCO|Plaza Principal Chiquintirca S/N Mz. V Lt. 1
050503|AYACUCHO|LA MAR|AYNA|MUNICIPALIDAD DISTRITAL DE AYNA|Av. Huanta S/N
050504|AYACUCHO|LA MAR|CHILCAS|MUNICIPALIDAD DISTRITAL DE CHILCAS|Plaza Principal S/N
050505|AYACUCHO|LA MAR|CHUNGUI|MUNICIPALIDAD DISTRITAL DE CHUNGUI|Plaza Principal S/N
050506|AYACUCHO|LA MAR|LUIS CARRANZA|MUNICIPALIDAD DISTRITAL DE LUIS CARRANZA|Plaza Principal S/N
050507|AYACUCHO|LA MAR|SANTA ROSA|MUNICIPALIDAD DISTRITAL DE SANTA ROSA|Jr. Unión N° 485 Mz. W Lt. 4 - Plaza Principal
050508|AYACUCHO|LA MAR|TAMBO|MUNICIPALIDAD DISTRITAL DE TAMBO|Plaza Principal S/N
050509|AYACUCHO|LA MAR|SAMUGARI|MUNICIPALIDAD DISTRITAL DE SAMUGARI|Jr. Los Laureles S/N Mz. R Lt. 25 - Plaza Principal
050510|AYACUCHO|LA MAR|ANCHIHUAY|MUNICIPALIDAD DISTRITAL DE ANCHIHUAY|Plaza Principal S/N
050511|AYACUCHO|LA MAR|ORONCCOY|MUNICIPALIDAD DISTRITAL DE ORONCCOY|Plaza Principal S/N
050512|AYACUCHO|LA MAR|UNION PROGRESO|MUNICIPALIDAD DISTRITAL DE UNION PROGRESO|Plaza Principal S/N
050513|AYACUCHO|LA MAR|RIO MAGDALENA|MUNICIPALIDAD DISTRITAL DE RIO MAGDALENA|Jr. Rio Bamba S/N
050514|AYACUCHO|LA MAR|NINABAMBA|MUNICIPALIDAD DISTRITAL DE NINABAMBA|Plaza Principal S/N
050515|AYACUCHO|LA MAR|PATIBAMBA|MUNICIPALIDAD DISTRITAL DE PATIBAMBA|Plaza de Armas S/N
050601|AYACUCHO|LUCANAS|PUQUIO|MUNICIPALIDAD PROVINCIAL DE PUQUIO|Jr. Ayacucho N° 136 - Plaza de Armas
050602|AYACUCHO|LUCANAS|AUCARA|MUNICIPALIDAD DISTRITAL DE AUCARA|Av. Apu Chauccalla S/N
050603|AYACUCHO|LUCANAS|CABANA|MUNICIPALIDAD DISTRITAL DE CABANA|Jr. Jorge Chávez N° 250 Mz. 11 Lt. 4
050604|AYACUCHO|LUCANAS|CARMEN SALCEDO|MUNICIPALIDAD DISTRITAL DE CARMEN SALCEDO|Jr. Miguel Grau S/N
050605|AYACUCHO|LUCANAS|CHAVIÑA|MUNICIPALIDAD DISTRITAL DE CHAVIÑA|Plaza Principal S/N
050606|AYACUCHO|LUCANAS|CHIPAO|MUNICIPALIDAD DISTRITAL DE CHIPAO|Jr. Miguel Grau S/N Mz. 10 Lt. 2 Km. 445.8 - Plaza de Armas
050607|AYACUCHO|LUCANAS|HUAC-HUAS|MUNICIPALIDAD DISTRITAL DE HUAC-HUAS|Av. Simón Bolívar S/N - Plaza de Armas
050608|AYACUCHO|LUCANAS|LARAMATE|MUNICIPALIDAD DISTRITAL DE LARAMATE|Jr. Ica S/N Mz. G Lt. 7 - Plaza de Armas
050609|AYACUCHO|LUCANAS|LEONCIO PRADO|MUNICIPALIDAD DISTRITAL DE LEONCIO PRADO|Plaza de Armas S/N
050610|AYACUCHO|LUCANAS|LLAUTA|MUNICIPALIDAD DISTRITAL DE LLAUTA|Calle Santa Rosa S/N
050611|AYACUCHO|LUCANAS|LUCANAS|MUNICIPALIDAD DISTRITAL DE LUCANAS|Jr. Atómico S/N - Plaza Principal
050612|AYACUCHO|LUCANAS|OCAÑA|MUNICIPALIDAD DISTRITAL DE OCAÑA|Av. Progreso S/N Mz. 6 Lt. 2
050613|AYACUCHO|LUCANAS|OTOCA|MUNICIPALIDAD DISTRITAL DE OTOCA|Plaza de Armas S/N
050614|AYACUCHO|LUCANAS|SAISA|MUNICIPALIDAD DISTRITAL DE SAISA|Plaza de Armas S/N
050615|AYACUCHO|LUCANAS|SAN CRISTÓBAL|MUNICIPALIDAD DISTRITAL DE SAN CRISTÓBAL|Jr. San Cristobal S/N
050616|AYACUCHO|LUCANAS|SAN JUAN|MUNICIPALIDAD DISTRITAL DE SAN JUAN|Jr. José María Arguedas S/N - Plaza de Armas
050617|AYACUCHO|LUCANAS|SAN PEDRO|MUNICIPALIDAD DISTRITAL DE SAN PEDRO|Jr. José María Arguedas N° 344
050618|AYACUCHO|LUCANAS|SAN PEDRO DE PALCO|MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE PALCO|Plaza de Armas S/N
050619|AYACUCHO|LUCANAS|SANCOS|MUNICIPALIDAD DISTRITAL DE SANCOS|Jr. Alfonso Ugarte S/N - Plaza Principal
050620|AYACUCHO|LUCANAS|SANTA ANA DE HUAYCAHUACHO|MUNICIPALIDAD DISTRITAL DE SANTA ANA DE HUAYCAHUACHO|Plaza Principal S/N
050621|AYACUCHO|LUCANAS|SANTA LUCIA|MUNICIPALIDAD DISTRITAL DE SANTA LUCIA|Plaza de Armas S/N
050701|AYACUCHO|PARINACOCHAS|CORACORA|MUNICIPALIDAD PROVINCIAL DE CORACORA|Jr. Bolognesi S/N - Plaza de Armas
050702|AYACUCHO|PARINACOCHAS|CHUMPI|MUNICIPALIDAD DISTRITAL DE CHUMPI|Av. Progreso S/N
050703|AYACUCHO|PARINACOCHAS|CORONEL CASTAÑEDA|MUNICIPALIDAD DISTRITAL DE CORONEL CASTAÑEDA|Plaza de Armas S/N
050704|AYACUCHO|PARINACOCHAS|PACAPAUSA|MUNICIPALIDAD DISTRITAL DE PACAPAUSA|Plaza de Armas S/N
050705|AYACUCHO|PARINACOCHAS|PULLO|MUNICIPALIDAD DISTRITAL DE PULLO|Plaza de Armas S/N
050706|AYACUCHO|PARINACOCHAS|PUYUSCA|MUNICIPALIDAD DISTRITAL DE PUYUSCA|Plaza 5 de Marzo S/N
050707|AYACUCHO|PARINACOCHAS|SAN FRANCISCO DE RIVACAYCO|MUNICIPALIDAD DISTRITAL DE SAN FRANCISCO DE RIVACAYCO|Plaza de Armas S/N
050708|AYACUCHO|PARINACOCHAS|UPAHUACHO|MUNICIPALIDAD DISTRITAL DE UPAHUACHO|Plaza de Armas N° 9 Mz. K Lt. 9
050801|AYACUCHO|PAUCAR DEL SARA SARA|PAUSA|MUNICIPALIDAD PROVINCIAL DE PAUSA|Saavedra N° 455 Mz. L2 Lt. 11 - Plaza de Armas
050802|AYACUCHO|PAUCAR DEL SARA SARA|COLTA|MUNICIPALIDAD DISTRITAL DE COLTA|Plaza de Armas S/N
050803|AYACUCHO|PAUCAR DEL SARA SARA|CORCULLA|MUNICIPALIDAD DISTRITAL DE CORCULLA|Plaza Principal S/N
050804|AYACUCHO|PAUCAR DEL SARA SARA|LAMPA|MUNICIPALIDAD DISTRITAL DE LAMPA|Calle Comercio S/N Mz. V Lt. 4
050805|AYACUCHO|PAUCAR DEL SARA SARA|MARCABAMBA|MUNICIPALIDAD DISTRITAL DE MARCABAMBA|Av. 28 de Julio S/N
050806|AYACUCHO|PAUCAR DEL SARA SARA|OYOLO|MUNICIPALIDAD DISTRITAL DE OYOLO|Plaza de Armas S/N Mz. N Lt. 3
050807|AYACUCHO|PAUCAR DEL SARA SARA|PARARCA|MUNICIPALIDAD DISTRITAL DE PARARCA|Jr. Argentina S/N Mz. K1 Lt. 7
050808|AYACUCHO|PAUCAR DEL SARA SARA|SAN JAVIER DE ALPABAMBA|MUNICIPALIDAD DISTRITAL DE SAN JAVIER DE ALPABAMBA|Calle Parinacochas N° 3 Mz. H Lt. 3
050809|AYACUCHO|PAUCAR DEL SARA SARA|SAN JOSÉ DE USHUA|MUNICIPALIDAD DISTRITAL DE SAN JOSÉ DE USHUA|Plaza Principal S/N
050810|AYACUCHO|PAUCAR DEL SARA SARA|SARA SARA|MUNICIPALIDAD DISTRITAL DE SARA SARA|Av. Huamanga S/N Mz. B1 Lt. 2 - Plaza de Armas
050901|AYACUCHO|SUCRE|QUEROBAMBA|MUNICIPALIDAD PROVINCIAL DE QUEROBAMBA|Jr. San Martín S/N - Plaza Principal
050902|AYACUCHO|SUCRE|BELÉN|MUNICIPALIDAD DISTRITAL DE BELÉN|Plaza Principal S/N
050903|AYACUCHO|SUCRE|CHALCOS|MUNICIPALIDAD DISTRITAL DE CHALCOS|Plaza de Armas S/N
050904|AYACUCHO|SUCRE|CHILCAYOC|MUNICIPALIDAD DISTRITAL DE CHILCAYOC|Jr. Carrion S/N - Plaza Principal
050905|AYACUCHO|SUCRE|HUACAÑA|MUNICIPALIDAD DISTRITAL DE HUACAÑA|Plaza Principal S/N
050906|AYACUCHO|SUCRE|MORCOLLA|MUNICIPALIDAD DISTRITAL DE MORCOLLA|Plaza Principal S/N
050907|AYACUCHO|SUCRE|PAICO|MUNICIPALIDAD DISTRITAL DE PAICO|Plaza Principal S/N
050908|AYACUCHO|SUCRE|SAN PEDRO DE LARCAY|MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE LARCAY|Av. Marciano Ferrel Castilla S/N
050909|AYACUCHO|SUCRE|SAN SALVADOR DE QUIJE|MUNICIPALIDAD DISTRITAL DE SAN SALVADOR DE QUIJE|Jr. Ayacucho S/N
050910|AYACUCHO|SUCRE|SANTIAGO DE PAUCARAY|MUNICIPALIDAD DISTRITAL DE SANTIAGO DE PAUCARAY|Calle Real S/N
050911|AYACUCHO|SUCRE|SORAS|MUNICIPALIDAD DISTRITAL DE SORAS|Jr. Simon Bolívar S/N
051001|AYACUCHO|VICTOR FAJARDO|HUANCAPI|MUNICIPALIDAD PROVINCIAL DE HUANCAPI|Jr. Lima N° 125 - Plaza Principal
051002|AYACUCHO|VICTOR FAJARDO|ALCAMENCA|MUNICIPALIDAD DISTRITAL DE ALCAMENCA|Plaza Principal S/N
051003|AYACUCHO|VICTOR FAJARDO|APONGO|MUNICIPALIDAD DISTRITAL DE APONGO|Plaza Principal S/N
051004|AYACUCHO|VICTOR FAJARDO|ASQUIPATA|MUNICIPALIDAD DISTRITAL DE ASQUIPATA|Plaza Principal S/N
051005|AYACUCHO|VICTOR FAJARDO|CANARIA|MUNICIPALIDAD DISTRITAL DE CANARIA|Plaza Principal S/N
051006|AYACUCHO|VICTOR FAJARDO|CAYARA|MUNICIPALIDAD DISTRITAL DE CAYARA|Plaza Principal S/N
051007|AYACUCHO|VICTOR FAJARDO|COLCA|MUNICIPALIDAD DISTRITAL DE COLCA|Plaza Principal S/N
051008|AYACUCHO|VICTOR FAJARDO|HUAMANQUIQUIA|MUNICIPALIDAD DISTRITAL DE HUAMANQUIQUIA|Plaza Principal S/N
051009|AYACUCHO|VICTOR FAJARDO|HUANCARAYLLA|MUNICIPALIDAD DISTRITAL DE HUANCARAYLLA|Plaza Principal N° 2 Mz. Q Lt. 1 Km. 116
051010|AYACUCHO|VICTOR FAJARDO|HUALLA|MUNICIPALIDAD DISTRITAL DE HUALLA|Plaza Principal N° 1
051011|AYACUCHO|VICTOR FAJARDO|SARHUA|MUNICIPALIDAD DISTRITAL DE SARHUA|Plaza Principal S/N
051012|AYACUCHO|VICTOR FAJARDO|VILCANCHOS|MUNICIPALIDAD DISTRITAL DE VILCANCHOS|Plaza Principal S/N
051101|AYACUCHO|VILCAS HUAMÁN|VILCAS HUAMÁN|MUNICIPALIDAD PROVINCIAL DE VILCAS HUAMÁN|Plaza Principal S/N
051102|AYACUCHO|VILCAS HUAMÁN|ACCOMARCA|MUNICIPALIDAD DISTRITAL DE ACCOMARCA|Plaza Principal S/N
051103|AYACUCHO|VILCAS HUAMÁN|CARHUANCA|MUNICIPALIDAD DISTRITAL DE CARHUANCA|Plaza Principal S/N
051104|AYACUCHO|VILCAS HUAMÁN|CONCEPCIÓN|MUNICIPALIDAD DISTRITAL DE CONCEPCIÓN|Plaza Principal S/N
051105|AYACUCHO|VILCAS HUAMÁN|HUAMBALPA|MUNICIPALIDAD DISTRITAL DE HUAMBALPA|Plaza Principal S/N
051106|AYACUCHO|VILCAS HUAMÁN|INDEPENDENCIA|MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA|Plaza Principal S/N
051107|AYACUCHO|VILCAS HUAMÁN|SAURAMA|MUNICIPALIDAD DISTRITAL DE SAURAMA|Plaza Principal S/N
051108|AYACUCHO|VILCAS HUAMÁN|VISCHONGO|MUNICIPALIDAD DISTRITAL DE VISCHONGO|Plaza Principal S/N
060101|CAJAMARCA|CAJAMARCA|CAJAMARCA|MUNICIPALIDAD PROVINCIAL DE CAJAMARCA|Av. Alameda de Los Incas N° 253
060102|CAJAMARCA|CAJAMARCA|ASUNCIÓN|MUNICIPALIDAD DISTRITAL DE ASUNCIÓN|Jr. Cuzco N° 135
060103|CAJAMARCA|CAJAMARCA|CHETILLA|MUNICIPALIDAD DISTRITAL DE CHETILLA|Jr. San Pedro S/N
060104|CAJAMARCA|CAJAMARCA|COSPÁN|MUNICIPALIDAD DISTRITAL DE COSPÁN|Jr. Bolívar S/N
060105|CAJAMARCA|CAJAMARCA|ENCAÑADA|MUNICIPALIDAD DISTRITAL DE ENCAÑADA|Jr. Lima N° 153 Mz. O Lt. O
060106|CAJAMARCA|CAJAMARCA|JESÚS|MUNICIPALIDAD DISTRITAL DE JESÚS|Jr. Grau N° 621
060107|CAJAMARCA|CAJAMARCA|LLACANORA|MUNICIPALIDAD DISTRITAL DE LLACANORA|Jr. Miguel Grau N° 120
060108|CAJAMARCA|CAJAMARCA|LOS BAÑOS DEL INCA|MUNICIPALIDAD DISTRITAL DE LOS BAÑOS DEL INCA|Av. Atahualpa S/N - Plaza de Armas
060109|CAJAMARCA|CAJAMARCA|MAGDALENA|MUNICIPALIDAD DISTRITAL DE MAGDALENA|Jr. José Olaya N° 146
060110|CAJAMARCA|CAJAMARCA|MATARA|MUNICIPALIDAD DISTRITAL DE MATARA|Jr. Ricardo Palma N° 400
060111|CAJAMARCA|CAJAMARCA|NAMORA|MUNICIPALIDAD DISTRITAL DE NAMORA|Jr. Libertad N° 105
060112|CAJAMARCA|CAJAMARCA|SAN JUAN|MUNICIPALIDAD DISTRITAL DE SAN JUAN|Av. San Juan N° 1000
060201|CAJAMARCA|CAJABAMBA|CAJABAMBA|MUNICIPALIDAD PROVINCIAL DE CAJABAMBA|Jr. Alfonso Urgarte N° 620
060202|CAJAMARCA|CAJABAMBA|CACHACHI|MUNICIPALIDAD DISTRITAL DE CACHACHI|Plaza de Armas S/N
060203|CAJAMARCA|CAJABAMBA|CONDEBAMBA|MUNICIPALIDAD DISTRITAL DE CONDEBAMBA|Av. Cajamarca N° 394
060204|CAJAMARCA|CAJABAMBA|SITACOCHA|MUNICIPALIDAD DISTRITAL DE SITACOCHA|Jr. 28 de Julio N° 302
060301|CAJAMARCA|CELENDÍN|CELENDÍN|MUNICIPALIDAD PROVINCIAL DE CELENDÍN|Jr. José Galvez N° 614
060302|CAJAMARCA|CELENDÍN|CHUMUCH|MUNICIPALIDAD DISTRITAL DE CHUMUCH|Jr. Coquelet Orrego S/N - Plaza de Armas
060303|CAJAMARCA|CELENDÍN|CORTEGANA|MUNICIPALIDAD DISTRITAL DE CORTEGANA|Jr. Celendín S/N - Plaza de Armas
060304|CAJAMARCA|CELENDÍN|HUASMÍN|MUNICIPALIDAD DISTRITAL DE HUASMÍN|Jr. Arequipa N° 47 - Plaza de Armas
060305|CAJAMARCA|CELENDÍN|JORGE CHÁVEZ|MUNICIPALIDAD DISTRITAL DE JORGE CHÁVEZ|Jr. El Comercio S/N
060306|CAJAMARCA|CELENDÍN|JOSÉ GÁLVEZ|MUNICIPALIDAD DISTRITAL DE JOSÉ GÁLVEZ|Av. Marañón N° 879 - Plaza de Armas
060307|CAJAMARCA|CELENDÍN|MIGUEL IGLESIAS|MUNICIPALIDAD DISTRITAL DE MIGUEL IGLESIAS|Jr. La Concordia S/N
060308|CAJAMARCA|CELENDÍN|OXAMARCA|MUNICIPALIDAD DISTRITAL DE OXAMARCA|Jr. Dos de Mayo S/N - Plaza de Armas
060309|CAJAMARCA|CELENDÍN|SOROCHUCO|MUNICIPALIDAD DISTRITAL DE SOROCHUCO|Jr. Amazonas N° 213 - Plaza de Armas
060310|CAJAMARCA|CELENDÍN|SUCRE|MUNICIPALIDAD DISTRITAL DE SUCRE|Jr. Nazareo Chávez N° 201
060311|CAJAMARCA|CELENDÍN|UTCO|MUNICIPALIDAD DISTRITAL DE UTCO|Carretera Limon Km. 35
060312|CAJAMARCA|CELENDÍN|LA LIBERTAD DE PALLÁN|MUNICIPALIDAD DISTRITAL DE LA LIBERTAD DE PALLÁN|Jr. La Purísima N° 230 - Plaza de Armas
060401|CAJAMARCA|CHOTA|CHOTA|MUNICIPALIDAD PROVINCIAL DE CHOTA|Jr. Anaximandro Vega N° 409
060402|CAJAMARCA|CHOTA|ANGUIA|MUNICIPALIDAD DISTRITAL DE ANGUIA|Calle Comercio N° 212
060403|CAJAMARCA|CHOTA|CHADIN|MUNICIPALIDAD DISTRITAL DE CHADIN|Jr. Cevallos Chávez N° 255
060404|CAJAMARCA|CHOTA|CHIGUIRIP|MUNICIPALIDAD DISTRITAL DE CHIGUIRIP|Av. Pascual Pérez Diaz S/N
060405|CAJAMARCA|CHOTA|CHIMBÁN|MUNICIPALIDAD DISTRITAL DE CHIMBÁN|Jr. Cajamarca S/N
060406|CAJAMARCA|CHOTA|CHOROPAMPA|MUNICIPALIDAD DISTRITAL DE CHOROPAMPA|Jr. Santísima Cruz de Mayo S/N
060407|CAJAMARCA|CHOTA|COCHABAMBA|MUNICIPALIDAD DISTRITAL DE COCHABAMBA|Jr. Cajamarca N° 100 - Plaza de Armas
060408|CAJAMARCA|CHOTA|CONCHÁN|MUNICIPALIDAD DISTRITAL DE CONCHÁN|Jr. Grau N° 198
060409|CAJAMARCA|CHOTA|HUAMBOS|MUNICIPALIDAD DISTRITAL DE HUAMBOS|Calle Miguel Grau S/N
060410|CAJAMARCA|CHOTA|LAJAS|MUNICIPALIDAD DISTRITAL DE LAJAS|Jr. 28 de Julio N° 231 - Plaza de Armas
060411|CAJAMARCA|CHOTA|LLAMA|MUNICIPALIDAD DISTRITAL DE LLAMA|Calle Inca Garcilazo de La Vega N° 141
060412|CAJAMARCA|CHOTA|MIRACOSTA|MUNICIPALIDAD DISTRITAL DE MIRACOSTA|Calle Alfonso Ugarte S/N - Plaza de Armas
060413|CAJAMARCA|CHOTA|PACCHA|MUNICIPALIDAD DISTRITAL DE PACCHA|Jr. Gregorio Malca N° 300
060414|CAJAMARCA|CHOTA|PION 2/|MUNICIPALIDAD DISTRITAL DE PION 2/|Calle Lima N° 102
060415|CAJAMARCA|CHOTA|QUEROCOTO|MUNICIPALIDAD DISTRITAL DE QUEROCOTO|Calle Comercio N° 451
060416|CAJAMARCA|CHOTA|SAN JUAN DE LICUPIS|MUNICIPALIDAD DISTRITAL DE SAN JUAN DE LICUPIS|Calle Pedro Verano S/N - Plaza de Armas
060417|CAJAMARCA|CHOTA|TACABAMBA|MUNICIPALIDAD DISTRITAL DE TACABAMBA|Jr. Lima N° 549
060418|CAJAMARCA|CHOTA|TOCMOCHE|MUNICIPALIDAD DISTRITAL DE TOCMOCHE|Calle 18 de Setiembre S/N - Plaza de Armas
060419|CAJAMARCA|CHOTA|CHALAMARCA|MUNICIPALIDAD DISTRITAL DE CHALAMARCA|Jr. Julio Vásquez Acuña S/N
060501|CAJAMARCA|CONTUMAZÁ|CONTUMAZÁ|MUNICIPALIDAD PROVINCIAL DE CONTUMAZÁ|Jr. Octavio Alva N° 260
060502|CAJAMARCA|CONTUMAZÁ|CHILETE|MUNICIPALIDAD DISTRITAL DE CHILETE|Jr. Ignacio Prado N° 128
060503|CAJAMARCA|CONTUMAZÁ|CUPISNIQUE|MUNICIPALIDAD DISTRITAL DE CUPISNIQUE|Plaza de Armas N° 201
060504|CAJAMARCA|CONTUMAZÁ|GUZMANGO|MUNICIPALIDAD DISTRITAL DE GUZMANGO|Jr. Cajamarca N° 19
060505|CAJAMARCA|CONTUMAZÁ|SAN BENITO|MUNICIPALIDAD DISTRITAL DE SAN BENITO|Jr. Unión N° 206
060506|CAJAMARCA|CONTUMAZÁ|SANTA CRUZ DE TOLED|MUNICIPALIDAD DISTRITAL DE SANTA CRUZ DE TOLED|Jr. Fidel Zárate Plasencia S/N
060507|CAJAMARCA|CONTUMAZÁ|TANTARICA|MUNICIPALIDAD DISTRITAL DE TANTARICA|Jr. Jucón N° 120
060508|CAJAMARCA|CONTUMAZÁ|YONÁN|MUNICIPALIDAD DISTRITAL DE YONÁN|Plaza de Armas S/N
060601|CAJAMARCA|CUTERVO|CUTERVO|MUNICIPALIDAD PROVINCIAL DE CUTERVO|Jr. Ramón Castilla N° 403 Mz. 64 Lt. 1
060602|CAJAMARCA|CUTERVO|CALLAYUC|MUNICIPALIDAD DISTRITAL DE CALLAYUC|Calle Sáenz Peña N° 104
060603|CAJAMARCA|CUTERVO|CHOROS|MUNICIPALIDAD DISTRITAL DE CHOROS|Jr. Rodriguez Tafur S/N
060604|CAJAMARCA|CUTERVO|CUJILLO|MUNICIPALIDAD DISTRITAL DE CUJILLO|Calle Cutervo S/N
060605|CAJAMARCA|CUTERVO|LA RAMADA|MUNICIPALIDAD DISTRITAL DE LA RAMADA|Jr. 6 de Octubre S/N - Plaza de Armas
060606|CAJAMARCA|CUTERVO|PIMPINGOS|MUNICIPALIDAD DISTRITAL DE PIMPINGOS|Calle Unión N° 117
060607|CAJAMARCA|CUTERVO|QUEROCOTILLO|MUNICIPALIDAD DISTRITAL DE QUEROCOTILLO|Calle Cajamarca N° 290
060608|CAJAMARCA|CUTERVO|SAN ANDRÉS DE CUTERVO|MUNICIPALIDAD DISTRITAL DE SAN ANDRÉS DE CUTERVO|Calle César Vallejo N° 311
060609|CAJAMARCA|CUTERVO|SAN JUAN DE CUTERVO|MUNICIPALIDAD DISTRITAL DE SAN JUAN DE CUTERVO|Calle San Isidro S/N
060610|CAJAMARCA|CUTERVO|SAN LUIS DE LUCMA|MUNICIPALIDAD DISTRITAL DE SAN LUIS DE LUCMA|Calle Comercio N° 650
060611|CAJAMARCA|CUTERVO|SANTA CRUZ|MUNICIPALIDAD DISTRITAL DE SANTA CRUZ|Calle 09 Mayo N° 34
060612|CAJAMARCA|CUTERVO|SANTO DOMINGO DE LA CAPILLA|MUNICIPALIDAD DISTRITAL DE SANTO DOMINGO DE LA CAPILLA|Plaza de Armas S/N
060613|CAJAMARCA|CUTERVO|SANTO TOMÁS|MUNICIPALIDAD DISTRITAL DE SANTO TOMÁS|Jr. Sucre N° 231
060614|CAJAMARCA|CUTERVO|SOCOTA|MUNICIPALIDAD DISTRITAL DE SOCOTA|Calle 14 de Mayo S/N
060615|CAJAMARCA|CUTERVO|TORIBIO CASANOVA|MUNICIPALIDAD DISTRITAL DE TORIBIO CASANOVA|Calle San Martín S/N - Cdra. 2 (La Sacilia)
060701|CAJAMARCA|HUALGAYOC|BAMBAMARCA|MUNICIPALIDAD PROVINCIAL DE BAMBAMARCA|Jr. Miguel Grau N° 320
060702|CAJAMARCA|HUALGAYOC|CHUGUR|MUNICIPALIDAD DISTRITAL DE CHUGUR|Jr. Bolívar N° 207
060703|CAJAMARCA|HUALGAYOC|HUALGAYOC|MUNICIPALIDAD DISTRITAL DE HUALGAYOC|Jr. Emilio Montoya S/N
060801|CAJAMARCA|JAÉN|JAÉN|MUNICIPALIDAD PROVINCIAL DE JAÉN|Calle Orellana N° 313
060802|CAJAMARCA|JAÉN|BELLAVISTA|MUNICIPALIDAD DISTRITAL DE BELLAVISTA|Calle 06 de Agosto N° 269
060803|CAJAMARCA|JAÉN|CHONTALI|MUNICIPALIDAD DISTRITAL DE CHONTALI|Calle Comercio S/N
060804|CAJAMARCA|JAÉN|COLASAY|MUNICIPALIDAD DISTRITAL DE COLASAY|Calle Principal S/N
060805|CAJAMARCA|JAÉN|HUABAL|MUNICIPALIDAD DISTRITAL DE HUABAL|Av. Jaén S/N - Paza de Armas
060806|CAJAMARCA|JAÉN|LAS PIRIAS|MUNICIPALIDAD DISTRITAL DE LAS PIRIAS|Calle Ángel Custodio Villanueva N° 108
060807|CAJAMARCA|JAÉN|POMAHUACA|MUNICIPALIDAD DISTRITAL DE POMAHUACA|Av. Balta N° 173
060808|CAJAMARCA|JAÉN|PUCARÁ|MUNICIPALIDAD DISTRITAL DE PUCARÁ|Av. Lindo N° 548
060809|CAJAMARCA|JAÉN|SALLIQUE|MUNICIPALIDAD DISTRITAL DE SALLIQUE|Calle Señor de La Humildad S/N
060810|CAJAMARCA|JAÉN|SAN FELIPE|MUNICIPALIDAD DISTRITAL DE SAN FELIPE|Atahualpa S/N - Plaza de Armas
060811|CAJAMARCA|JAÉN|SAN JOSÉ DEL ALTO|MUNICIPALIDAD DISTRITAL DE SAN JOSÉ DEL ALTO|Av. Jaén N° 440
060812|CAJAMARCA|JAÉN|SANTA ROSA|MUNICIPALIDAD DISTRITAL DE SANTA ROSA|Calle Comercio N° 338
060901|CAJAMARCA|SAN IGNACIO|SAN IGNACIO|MUNICIPALIDAD PROVINCIAL DE SAN IGNACIO|Av. San Ignacio N° 101 Mz. 11 Lt. 5
060902|CAJAMARCA|SAN IGNACIO|CHIRINOS|MUNICIPALIDAD DISTRITAL DE CHIRINOS|Calle San Francisco S/N
060903|CAJAMARCA|SAN IGNACIO|HUARANGO|MUNICIPALIDAD DISTRITAL DE HUARANGO|Jr. 13 de Junio N° 248
